Abbreviation,TeamName,GridPosition,DriverPointsBefore,TeamPointsBefore,AvgFinishLast3,Podium
15,4,1.0,19.0,311.0,3.3333333333333335,0
27,1,8.0,156.0,184.0,16.0,0
28,11,10.0,11.0,322.0,3.3333333333333335,1
11,8,7.0,242.0,138.0,2.6666666666666665,1
23,8,1.0,145.0,127.0,8.333333333333334,1
24,4,2.0,153.0,130.0,8.0,0
20,11,11.0,145.0,188.0,8.666666666666666,0
15,4,3.0,163.0,143.0,8.0,0
18,7,4.0,164.0,194.0,6.666666666666667,0
1,2,6.0,72.0,257.0,7.0,0
19,2,5.0,41.0,238.0,9.333333333333334,0
29,3,18.0,55.0,247.0,12.333333333333334,0
26,3,14.0,16.0,305.0,11.333333333333334,0
9,1,0.0,4.0,316.0,14.333333333333334,0
30,0,12.0,16.0,334.0,16.333333333333332,0
17,5,15.0,5.0,306.0,9.666666666666666,0
22,7,9.0,12.0,325.0,10.333333333333334,0
16,5,13.0,16.0,272.0,12.0,0
0,12,17.0,19.0,341.0,15.0,0
13,12,19.0,3.0,370.0,16.0,0
27,1,16.0,0.0,388.0,16.666666666666668,0
5,0,8.0,11.0,353.0,14.0,0
28,11,14.0,44.0,326.0,1.3333333333333333,1
20,11,2.0,268.0,144.0,9.666666666666666,1
24,4,1.0,181.0,146.0,9.0,1
23,8,5.0,160.0,197.0,3.3333333333333335,0
1,2,3.0,165.0,134.0,8.0,0
15,4,15.0,51.0,252.0,8.666666666666666,0
19,2,16.0,172.0,203.0,7.333333333333333,0
29,3,10.0,61.0,259.0,12.666666666666666,0
9,1,0.0,20.0,324.0,13.0,0
0,12,6.0,18.0,362.0,14.0,0
26,3,9.0,4.0,398.0,11.333333333333334,0
18,7,17.0,4.0,335.0,7.0,0
27,1,0.0,72.0,284.0,18.333333333333332,0
30,0,18.0,11.0,375.0,14.333333333333334,0
22,7,7.0,5.0,340.0,11.0,0
16,5,12.0,16.0,299.0,14.0,0
17,5,19.0,19.0,357.0,11.666666666666666,0
13,12,11.0,12.0,374.0,18.0,0
5,0,13.0,0.0,416.0,15.0,0
11,8,4.0,44.0,359.0,2.3333333333333335,0
28,11,1.0,145.0,154.0,1.0,1
23,8,6.0,294.0,147.0,3.3333333333333335,1
15,4,2.0,183.0,156.0,10.333333333333334,1
11,8,4.0,187.0,206.0,8.0,0
20,11,5.0,157.0,160.0,3.6666666666666665,0
1,2,13.0,191.0,152.0,6.333333333333333,0
18,7,7.0,59.0,265.0,8.666666666666666,0
24,4,3.0,78.0,306.0,4.0,0
19,2,12.0,164.0,214.0,8.0,0
26,3,10.0,63.0,274.0,10.666666666666666,0
9,1,11.0,5.0,345.0,11.0,0
0,12,15.0,18.0,386.0,13.333333333333334,0
17,5,8.0,4.0,428.0,15.333333333333334,0
29,3,19.0,12.0,387.0,9.666666666666666,0
16,5,18.0,20.0,359.0,16.666666666666668,0
30,0,14.0,19.0,402.0,14.333333333333334,0
22,7,17.0,5.0,375.0,13.0,0
13,12,20.0,16.0,323.0,17.666666666666668,0
5,0,16.0,0.0,446.0,17.666666666666668,0
27,1,9.0,44.0,394.0,17.333333333333332,0
28,11,7.0,11.0,406.0,1.0,1
15,4,1.0,319.0,153.0,5.0,1
23,8,2.0,205.0,216.0,3.0,1
24,4,18.0,198.0,163.0,5.0,0
11,8,19.0,176.0,220.0,8.666666666666666,0
20,11,13.0,167.0,168.0,4.0,0
18,7,3.0,200.0,159.0,8.666666666666666,0
9,1,5.0,84.0,330.0,10.666666666666666,0
7,12,8.0,22.0,414.0,,0
30,0,9.0,2.0,455.0,14.333333333333334,0
19,2,14.0,6.0,404.0,8.333333333333334,0
17,5,17.0,63.0,285.0,14.666666666666666,0
5,0,15.0,12.0,414.0,19.333333333333332,0
27,1,20.0,44.0,417.0,17.333333333333332,0
13,12,10.0,11.0,428.0,18.0,0
16,5,16.0,0.0,470.0,15.666666666666666,0
22,7,4.0,19.0,430.0,15.666666666666666,0
26,3,12.0,16.0,347.0,10.666666666666666,0
1,2,6.0,5.0,377.0,6.333333333333333,0
29,3,11.0,59.0,304.0,10.666666666666666,0
20,11,2.0,20.0,397.0,4.333333333333333,1
15,4,1.0,225.0,160.0,3.6666666666666665,1
24,4,4.0,223.0,222.0,5.0,1
18,7,6.0,191.0,225.0,8.666666666666666,0
22,7,16.0,96.0,351.0,16.333333333333332,0
26,3,11.0,26.0,356.0,13.0,0
28,11,8.0,13.0,403.0,1.0,0
29,3,13.0,325.0,167.0,14.0,0
11,8,3.0,24.0,411.0,9.666666666666666,0
