Abbreviation,TeamName,GridPosition,DriverPointsBefore,TeamPointsBefore,AvgFinishLast3,Podium
2,8,6.0,6.0,26.0,14.333333333333334,0
0,12,11.0,44.0,145.0,6.333333333333333,0
23,8,1.0,42.0,54.0,7.333333333333333,1
28,11,2.0,126.0,170.0,5.0,1
2,8,4.0,149.0,153.0,18.333333333333332,1
21,7,3.0,59.0,185.0,2.3333333333333335,0
15,4,8.0,184.0,351.0,3.6666666666666665,0
11,4,5.0,100.0,157.0,5.0,0
1,3,6.0,65.0,165.0,13.0,0
12,6,11.0,8.0,18.0,11.0,0
19,5,14.0,20.0,20.0,14.333333333333334,0
24,12,16.0,22.0,28.0,10.666666666666666,0
3,5,13.0,13.0,55.0,15.333333333333334,0
27,11,18.0,6.0,28.0,13.333333333333334,0
6,2,10.0,4.0,153.0,14.666666666666666,0
4,6,15.0,0.0,10.0,14.666666666666666,0
9,2,20.0,0.0,20.0,13.666666666666666,0
10,10,12.0,10.0,10.0,7.333333333333333,0
26,3,17.0,21.0,25.0,15.333333333333334,0
18,7,7.0,10.0,18.0,1.6666666666666667,0
14,10,19.0,167.0,351.0,11.0,0
0,12,9.0,4.0,25.0,11.0,0
18,7,1.0,42.0,55.0,7.0,1
21,7,3.0,192.0,376.0,2.6666666666666665,1
15,4,2.0,202.0,394.0,3.3333333333333335,1
11,4,4.0,115.0,180.0,5.666666666666667,0
23,8,5.0,77.0,192.0,5.333333333333333,0
14,10,6.0,136.0,195.0,12.666666666666666,0
1,3,11.0,12.0,33.0,11.666666666666666,0
4,6,8.0,14.0,24.0,13.333333333333334,0
12,6,20.0,4.0,24.0,9.666666666666666,0
19,5,17.0,22.0,26.0,10.666666666666666,0
3,5,15.0,23.0,29.0,13.333333333333334,0
10,10,13.0,6.0,29.0,9.666666666666666,0
9,2,10.0,21.0,33.0,14.333333333333334,0
26,3,16.0,10.0,10.0,15.666666666666666,0
6,2,14.0,10.0,24.0,13.666666666666666,0
27,11,18.0,0.0,10.0,14.0,0
0,12,12.0,4.0,153.0,16.0,0
28,11,7.0,42.0,55.0,5.333333333333333,0
2,8,9.0,149.0,153.0,13.0,0
24,12,19.0,59.0,195.0,11.333333333333334,0
18,7,3.0,13.0,55.0,7.0,1
21,7,2.0,217.0,419.0,2.3333333333333335,1
12,6,19.0,220.0,437.0,7.333333333333333,1
11,4,5.0,37.0,41.0,5.333333333333333,0
28,11,1.0,89.0,204.0,10.0,0
9,2,8.0,159.0,163.0,12.0,0
26,3,17.0,18.0,18.0,15.333333333333334,0
0,12,13.0,16.0,30.0,18.666666666666668,0
1,3,7.0,46.0,59.0,7.666666666666667,0
23,8,4.0,16.0,32.0,3.3333333333333335,0
3,5,18.0,137.0,196.0,13.0,0
24,12,9.0,6.0,29.0,14.666666666666666,0
19,5,14.0,13.0,59.0,11.666666666666666,0
15,4,6.0,23.0,29.0,3.6666666666666665,0
27,11,11.0,115.0,204.0,13.666666666666666,0
2,8,10.0,4.0,163.0,13.333333333333334,0
10,10,12.0,59.0,196.0,11.666666666666666,0
4,6,16.0,21.0,33.0,11.333333333333334,0
14,10,15.0,4.0,41.0,12.0,0
6,2,20.0,12.0,33.0,14.333333333333334,0
21,7,2.0,0.0,18.0,2.6666666666666665,1
18,7,1.0,245.0,462.0,6.666666666666667,1
15,4,3.0,235.0,480.0,7.333333333333333,1
28,11,4.0,130.0,219.0,8.333333333333334,0
23,8,6.0,171.0,175.0,5.333333333333333,0
0,12,5.0,147.0,206.0,15.0,0
11,4,18.0,54.0,67.0,4.666666666666667,0
14,10,9.0,95.0,225.0,14.666666666666666,0
4,6,10.0,16.0,37.0,13.333333333333334,0
9,2,13.0,6.0,43.0,11.333333333333334,0
3,5,12.0,19.0,19.0,11.0,0
12,6,14.0,6.0,29.0,6.666666666666667,0
27,11,7.0,37.0,43.0,14.333333333333334,0
26,3,16.0,4.0,175.0,12.666666666666666,0
19,5,11.0,16.0,32.0,10.666666666666666,0
2,8,19.0,23.0,29.0,12.666666666666666,0
1,3,20.0,59.0,206.0,7.666666666666667,0
24,12,17.0,16.0,32.0,14.0,0
6,2,15.0,13.0,67.0,16.0,0
10,10,8.0,0.0,19.0,15.0,0
