Abbreviation,TeamName,GridPosition,DriverPointsBefore,TeamPointsBefore,AvgFinishLast3,Rainfall,AirTemp,Podium
LEC,Ferrari,1.0,77.0,125.0,3.0,True,30.2,1
SAI,Ferrari,2.0,97.0,130.0,14.333333333333334,True,30.2,1
PER,Red Bull Racing,4.0,48.0,145.0,2.6666666666666665,True,30.2,0
RUS,Mercedes,12.0,60.0,137.0,4.0,True,30.2,0
HAM,Mercedes,6.0,59.0,87.0,9.0,True,30.2,0
BOT,Alfa Romeo,5.0,36.0,95.0,9.333333333333334,True,30.2,0
OCO,Alpine,20.0,28.0,29.0,9.0,True,30.2,0
ALB,Williams,18.0,24.0,26.0,11.666666666666666,True,30.2,0
STR,Aston Martin,0.0,3.0,3.0,11.666666666666666,True,30.2,0
ALO,Alpine,11.0,2.0,6.0,17.333333333333332,True,30.2,0
TSU,AlphaTauri,9.0,2.0,26.0,13.666666666666666,True,30.2,0
RIC,McLaren,14.0,10.0,16.0,13.666666666666666,True,30.2,0
LAT,Williams,19.0,8.0,39.0,16.666666666666668,True,30.2,0
MSC,Haas F1 Team,15.0,0.0,3.0,15.0,True,30.2,0
MAG,Haas F1 Team,16.0,0.0,14.0,10.666666666666666,True,30.2,0
VET,Aston Martin,0.0,14.0,14.0,13.5,True,30.2,0
GAS,AlphaTauri,7.0,4.0,6.0,9.666666666666666,True,30.2,0
NOR,McLaren,8.0,6.0,16.0,5.0,True,30.2,0
ZHO,Alfa Romeo,17.0,31.0,39.0,12.333333333333334,True,30.2,0
VER,Red Bull Racing,2.0,1.0,29.0,6.666666666666667,False,36.6,1
PER,Red Bull Racing,5.0,102.0,162.0,2.6666666666666665,False,36.6,1
RUS,Mercedes,4.0,79.0,181.0,4.0,False,36.6,1
SAI,Ferrari,3.0,74.0,110.0,14.333333333333334,False,36.6,0
HAM,Mercedes,6.0,60.0,157.0,7.666666666666667,False,36.6,0
BOT,Alfa Romeo,7.0,46.0,120.0,6.666666666666667,False,36.6,0
OCO,Alpine,12.0,36.0,37.0,9.666666666666666,False,36.6,0
NOR,McLaren,11.0,30.0,32.0,9.0,False,36.6,0
ALO,Alpine,20.0,35.0,43.0,15.666666666666666,False,36.6,0
TSU,AlphaTauri,13.0,4.0,34.0,11.333333333333334,False,36.6,0
VET,Aston Martin,16.0,11.0,17.0,14.666666666666666,False,36.6,0
RIC,McLaren,9.0,4.0,6.0,12.333333333333334,False,36.6,0
GAS,AlphaTauri,14.0,8.0,43.0,13.0,False,36.6,0
MSC,Haas F1 Team,10.0,6.0,17.0,15.0,False,36.6,0
STR,Aston Martin,17.0,0.0,14.0,10.666666666666666,False,36.6,0
LAT,Williams,19.0,2.0,6.0,15.333333333333334,False,36.6,0
MAG,Haas F1 Team,8.0,0.0,3.0,13.0,False,36.6,0
ALB,Williams,18.0,14.0,14.0,10.0,False,36.6,0
ZHO,Alfa Romeo,15.0,3.0,3.0,15.333333333333334,False,36.6,0
LEC,Ferrari,1.0,1.0,37.0,3.0,False,36.6,0
PER,Red Bull Racing,3.0,97.0,157.0,2.6666666666666665,True,22.2,1
SAI,Ferrari,2.0,104.0,206.0,9.0,True,22.2,1
VER,Red Bull Racing,4.0,78.0,175.0,1.0,True,22.2,1
LEC,Ferrari,1.0,117.0,221.0,9.333333333333334,True,22.2,0
RUS,Mercedes,6.0,109.0,187.0,4.0,True,22.2,0
NOR,McLaren,5.0,84.0,130.0,10.0,True,22.2,0
ALO,Alpine,7.0,44.0,52.0,13.0,True,22.2,0
HAM,Mercedes,8.0,10.0,40.0,8.0,True,22.2,0
BOT,Alfa Romeo,12.0,50.0,134.0,6.0,True,22.2,0
VET,Aston Martin,9.0,38.0,39.0,12.0,True,22.2,0
GAS,AlphaTauri,17.0,5.0,7.0,14.333333333333334,True,22.2,0
OCO,Alpine,10.0,6.0,17.0,9.666666666666666,True,22.2,0
RIC,McLaren,14.0,30.0,40.0,14.333333333333334,True,22.2,0
STR,Aston Martin,18.0,8.0,52.0,11.666666666666666,True,22.2,0
LAT,Williams,19.0,2.0,7.0,15.333333333333334,True,22.2,0
ZHO,Alfa Romeo,20.0,0.0,3.0,18.0,True,22.2,0
TSU,AlphaTauri,11.0,1.0,39.0,9.666666666666666,True,22.2,0
ALB,Williams,16.0,11.0,17.0,12.666666666666666,True,22.2,0
MSC,Haas F1 Team,15.0,3.0,3.0,15.333333333333334,True,22.2,0
MAG,Haas F1 Team,13.0,0.0,14.0,14.0,True,22.2,0
VER,Red Bull Racing,3.0,14.0,14.0,1.6666666666666667,False,25.5,1
PER,Red Bull Racing,2.0,142.0,246.0,2.3333333333333335,False,25.5,1
RUS,Mercedes,5.0,123.0,265.0,4.333333333333333,False,25.5,1
HAM,Mercedes,7.0,99.0,149.0,6.333333333333333,False,25.5,0
GAS,AlphaTauri,6.0,62.0,161.0,14.0,False,25.5,0
VET,Aston Martin,9.0,16.0,27.0,12.666666666666666,False,25.5,0
ALO,Alpine,10.0,13.0,15.0,9.0,False,25.5,0
RIC,McLaren,12.0,16.0,46.0,12.666666666666666,False,25.5,0
NOR,McLaren,11.0,12.0,56.0,11.0,False,25.5,0
OCO,Alpine,13.0,46.0,58.0,9.0,False,25.5,0
BOT,Alfa Romeo,15.0,31.0,47.0,7.333333333333333,False,25.5,0
ALB,Williams,17.0,38.0,39.0,15.0,False,25.5,0
TSU,AlphaTauri,8.0,3.0,3.0,13.0,False,25.5,0
MSC,Haas F1 Team,20.0,11.0,27.0,16.0,False,25.5,0
LAT,Williams,18.0,0.0,14.0,15.0,False,25.5,0
STR,Aston Martin,19.0,0.0,3.0,13.0,False,25.5,0
MAG,Haas F1 Team,16.0,2.0,15.0,17.666666666666668,False,25.5,0
ZHO,Alfa Romeo,14.0,14.0,14.0,18.333333333333332,False,25.5,0
LEC,Ferrari,1.0,1.0,39.0,8.666666666666666,False,25.5,0
SAI,Ferrari,4.0,109.0,187.0,3.0,False,25.5,0
VER,Red Bull Racing,1.0,78.0,187.0,1.6666666666666667,False,21.0,1
SAI,Ferrari,3.0,167.0,290.0,8.666666666666666,False,21.0,1
HAM,Mercedes,4.0,97.0,206.0,5.666666666666667,False,21.0,1
RUS,Mercedes,8.0,77.0,176.0,3.6666666666666665,False,21.0,0
LEC,Ferrari,19.0,111.0,188.0,14.333333333333334,False,21.0,0
OCO,Alpine,7.0,119.0,216.0,9.666666666666666,False,21.0,0
BOT,Alfa Romeo,11.0,39.0,55.0,8.666666666666666,False,21.0,0
ZHO,Alfa Romeo,10.0,44.0,45.0,17.666666666666668,False,21.0,0
ALO,Alpine,2.0,5.0,49.0,7.666666666666667,False,21.0,0
STR,Aston Martin,17.0,18.0,57.0,15.0,False,21.0,0
RIC,McLaren,9.0,3.0,16.0,11.0,False,21.0,0
VET,Aston Martin,16.0,12.0,58.0,9.0,False,21.0,0
ALB,Williams,12.0,13.0,16.0,16.0,False,21.0,0
GAS,AlphaTauri,15.0,3.0,3.0,9.666666666666666,False,21.0,0
NOR,McLaren,14.0,16.0,27.0,7.666666666666667,False,21.0,0
LAT,Williams,18.0,46.0,58.0,15.333333333333334,False,21.0,0
MAG,Haas F1 Team,5.0,0.0,3.0,18.0,False,21.0,0
TSU,AlphaTauri,20.0,14.0,14.0,13.333333333333334,False,21.0,0
MSC,Haas F1 Team,6.0,11.0,27.0,15.666666666666666,False,21.0,0
PER,Red Bull Racing,13.0,0.0,14.0,1.6666666666666667,False,21.0,0
SAI,Ferrari,1.0,123.0,290.0,8.0,True,18.3,1
PER,Red Bull Racing,4.0,122.0,241.0,7.666666666666667,True,18.3,1
HAM,Mercedes,5.0,141.0,308.0,5.0,True,18.3,1
LEC,Ferrari,3.0,93.0,204.0,9.333333333333334,True,18.3,0
ALO,Alpine,7.0,131.0,253.0,7.666666666666667,True,18.3,0
NOR,McLaren,6.0,28.0,67.0,10.0,True,18.3,0
VER,Red Bull Racing,2.0,54.0,66.0,1.6666666666666667,True,18.3,0
MSC,Haas F1 Team,19.0,173.0,314.0,17.333333333333332,True,18.3,0
VET,Aston Martin,18.0,4.0,18.0,9.333333333333334,True,18.3,0
MAG,Haas F1 Team,17.0,15.0,18.0,18.0,True,18.3,0
STR,Aston Martin,20.0,15.0,19.0,13.333333333333334,True,18.3,0
LAT,Williams,10.0,3.0,18.0,15.333333333333334,True,18.3,0
RIC,McLaren,14.0,0.0,3.0,10.666666666666666,True,18.3,0
TSU,AlphaTauri,13.0,12.0,66.0,16.0,True,18.3,0
OCO,Alpine,15.0,11.0,27.0,9.333333333333334,True,18.3,0
GAS,AlphaTauri,11.0,39.0,67.0,10.0,True,18.3,0
BOT,Alfa Romeo,12.0,16.0,27.0,9.0,True,18.3,0
RUS,Mercedes,8.0,44.0,49.0,4.0,True,18.3,0
ZHO,Alfa Romeo,9.0,111.0,204.0,14.0,True,18.3,0
ALB,Williams,16.0,5.0,49.0,14.333333333333334,True,18.3,0
LEC,Ferrari,2.0,3.0,3.0,9.333333333333334,False,20.3,1
VER,Red Bull Racing,1.0,156.0,278.0,3.0,False,20.3,1
HAM,Mercedes,8.0,192.0,333.0,3.3333333333333335,False,20.3,1
RUS,Mercedes,4.0,108.0,219.0,8.333333333333334,False,20.3,0
OCO,Alpine,6.0,123.0,231.0,10.333333333333334,False,20.3,0
MSC,Haas F1 Team,9.0,49.0,77.0,13.666666666666666,False,20.3,0
NOR,McLaren,10.0,12.0,27.0,10.0,False,20.3,0
MAG,Haas F1 Team,7.0,60.0,72.0,14.666666666666666,False,20.3,0
RIC,McLaren,11.0,19.0,31.0,10.666666666666666,False,20.3,0
ALO,Alpine,19.0,14.0,74.0,7.0,False,20.3,0
BOT,Alfa Romeo,0.0,29.0,78.0,11.666666666666666,False,20.3,0
ALB,Williams,15.0,44.0,49.0,15.0,False,20.3,0
STR,Aston Martin,12.0,3.0,3.0,12.333333333333334,False,20.3,0
ZHO,Alfa Romeo,13.0,3.0,18.0,15.0,False,20.3,0
GAS,AlphaTauri,14.0,5.0,49.0,11.666666666666666,False,20.3,0
TSU,AlphaTauri,16.0,16.0,27.0,15.0,False,20.3,0
VET,Aston Martin,18.0,11.0,27.0,9.0,False,20.3,0
SAI,Ferrari,3.0,15.0,18.0,7.666666666666667,False,20.3,0
LAT,Williams,17.0,122.0,278.0,14.333333333333334,False,20.3,0
PER,Red Bull Racing,5.0,0.0,3.0,8.0,False,20.3,0
VER,Red Bull Racing,2.0,141.0,333.0,3.3333333333333335,False,30.2,1
HAM,Mercedes,4.0,217.0,358.0,3.0,False,30.2,1
RUS,Mercedes,6.0,126.0,249.0,8.666666666666666,False,30.2,1
PER,Red Bull Racing,3.0,138.0,264.0,14.0,False,30.2,0
SAI,Ferrari,19.0,153.0,370.0,7.0,False,30.2,0
ALO,Alpine,7.0,133.0,289.0,8.0,False,30.2,0
NOR,McLaren,5.0,37.0,86.0,9.333333333333334,False,30.2,0
OCO,Alpine,10.0,66.0,80.0,8.666666666666666,False,30.2,0
RIC,McLaren,9.0,53.0,90.0,11.0,False,30.2,0
STR,Aston Martin,15.0,16.0,82.0,11.333333333333334,False,30.2,0
VET,Aston Martin,12.0,4.0,19.0,12.666666666666666,False,30.2,0
GAS,AlphaTauri,14.0,15.0,19.0,15.0,False,30.2,0
ALB,Williams,13.0,16.0,27.0,15.0,False,30.2,0
BOT,Alfa Romeo,11.0,3.0,3.0,11.666666666666666,False,30.2,0
MSC,Haas F1 Team,17.0,44.0,49.0,11.0,False,30.2,0
ZHO,Alfa Romeo,16.0,12.0,31.0,13.666666666666666,False,30.2,0
LAT,Williams,18.0,5.0,49.0,15.666666666666666,False,30.2,0
MAG,Haas F1 Team,20.0,0.0,3.0,11.666666666666666,False,30.2,0
LEC,Ferrari,1.0,19.0,31.0,3.3333333333333335,False,30.2,0
TSU,AlphaTauri,8.0,156.0,289.0,16.0,False,30.2,0
VER,Red Bull Racing,10.0,11.0,27.0,3.3333333333333335,True,18.5,1
HAM,Mercedes,7.0,242.0,395.0,2.6666666666666665,True,18.5,1
RUS,Mercedes,1.0,145.0,283.0,8.333333333333334,True,18.5,1
SAI,Ferrari,2.0,153.0,298.0,8.0,True,18.5,0
PER,Red Bull Racing,11.0,145.0,301.0,8.666666666666666,True,18.5,0
LEC,Ferrari,3.0,163.0,405.0,8.0,True,18.5,0
NOR,McLaren,4.0,164.0,309.0,6.666666666666667,True,18.5,0
ALO,Alpine,6.0,72.0,88.0,7.0,True,18.5,0
OCO,Alpine,5.0,41.0,94.0,9.333333333333334,True,18.5,0
VET,Aston Martin,18.0,55.0,96.0,12.333333333333334,True,18.5,0
STR,Aston Martin,14.0,16.0,20.0,11.333333333333334,True,18.5,0
GAS,AlphaTauri,0.0,4.0,20.0,14.333333333333334,True,18.5,0
ZHO,Alfa Romeo,12.0,16.0,27.0,16.333333333333332,True,18.5,0
MSC,Haas F1 Team,15.0,5.0,49.0,9.666666666666666,True,18.5,0
RIC,McLaren,9.0,12.0,31.0,10.333333333333334,True,18.5,0
MAG,Haas F1 Team,13.0,16.0,88.0,12.0,True,18.5,0
ALB,Williams,17.0,19.0,31.0,15.0,True,18.5,0
LAT,Williams,19.0,3.0,3.0,16.0,True,18.5,0
TSU,AlphaTauri,16.0,0.0,3.0,16.666666666666668,True,18.5,0
BOT,Alfa Romeo,8.0,11.0,27.0,14.0,True,18.5,0
VER,Red Bull Racing,14.0,44.0,49.0,1.3333333333333333,False,21.9,1
PER,Red Bull Racing,2.0,268.0,431.0,9.666666666666666,False,21.9,1
SAI,Ferrari,1.0,181.0,449.0,9.0,False,21.9,1
RUS,Mercedes,5.0,160.0,324.0,3.3333333333333335,False,21.9,0
ALO,Alpine,3.0,165.0,310.0,8.0,False,21.9,0
LEC,Ferrari,15.0,51.0,106.0,8.666666666666666,False,21.9,0
OCO,Alpine,16.0,172.0,332.0,7.333333333333333,False,21.9,0
VET,Aston Martin,10.0,61.0,112.0,12.666666666666666,False,21.9,0
GAS,AlphaTauri,0.0,20.0,24.0,13.0,False,21.9,0
ALB,Williams,6.0,18.0,29.0,14.0,False,21.9,0
STR,Aston Martin,9.0,4.0,4.0,11.333333333333334,False,21.9,0
NOR,McLaren,17.0,4.0,24.0,7.0,False,21.9,0
TSU,AlphaTauri,0.0,72.0,88.0,18.333333333333332,False,21.9,0
ZHO,Alfa Romeo,18.0,11.0,29.0,14.333333333333334,False,21.9,0
RIC,McLaren,7.0,5.0,49.0,11.0,False,21.9,0
MAG,Haas F1 Team,12.0,16.0,88.0,14.0,False,21.9,0
MSC,Haas F1 Team,19.0,19.0,31.0,11.666666666666666,False,21.9,0
LAT,Williams,11.0,12.0,31.0,18.0,False,21.9,0
BOT,Alfa Romeo,13.0,0.0,4.0,15.0,False,21.9,0
HAM,Mercedes,4.0,44.0,49.0,2.3333333333333335,False,21.9,0
VER,Red Bull Racing,1.0,145.0,310.0,1.0,False,22.7,1
RUS,Mercedes,6.0,294.0,475.0,3.3333333333333335,False,22.7,1
LEC,Ferrari,2.0,183.0,328.0,10.333333333333334,False,22.7,1
HAM,Mercedes,4.0,187.0,347.0,8.0,False,22.7,0
PER,Red Bull Racing,5.0,157.0,340.0,3.6666666666666665,False,22.7,0
ALO,Alpine,13.0,191.0,485.0,6.333333333333333,False,22.7,0
NOR,McLaren,7.0,59.0,120.0,8.666666666666666,False,22.7,0
SAI,Ferrari,3.0,78.0,94.0,4.0,False,22.7,0
OCO,Alpine,12.0,164.0,351.0,8.0,False,22.7,0
STR,Aston Martin,10.0,63.0,122.0,10.666666666666666,False,22.7,0
GAS,AlphaTauri,11.0,5.0,25.0,11.0,False,22.7,0
ALB,Williams,15.0,18.0,29.0,13.333333333333334,False,22.7,0
MSC,Haas F1 Team,8.0,4.0,4.0,15.333333333333334,False,22.7,0
VET,Aston Martin,19.0,12.0,31.0,9.666666666666666,False,22.7,0
MAG,Haas F1 Team,18.0,20.0,25.0,16.666666666666668,False,22.7,0
ZHO,Alfa Romeo,14.0,19.0,31.0,14.333333333333334,False,22.7,0
RIC,McLaren,17.0,5.0,49.0,13.0,False,22.7,0
LAT,Williams,20.0,16.0,94.0,17.666666666666668,False,22.7,0
BOT,Alfa Romeo,16.0,0.0,4.0,17.666666666666668,False,22.7,0
TSU,AlphaTauri,9.0,44.0,49.0,17.333333333333332,False,22.7,0
VER,Red Bull Racing,7.0,11.0,29.0,1.0,False,28.0,1
LEC,Ferrari,1.0,319.0,510.0,5.0,False,28.0,1
RUS,Mercedes,2.0,205.0,369.0,3.0,False,28.0,1
SAI,Ferrari,18.0,198.0,355.0,5.0,False,28.0,0
HAM,Mercedes,19.0,176.0,381.0,8.666666666666666,False,28.0,0
PER,Red Bull Racing,13.0,167.0,365.0,4.0,False,28.0,0
NOR,McLaren,3.0,200.0,519.0,8.666666666666666,False,28.0,0
GAS,AlphaTauri,5.0,84.0,100.0,10.666666666666666,False,28.0,0
DEV,Williams,8.0,22.0,33.0,,False,28.0,0
ZHO,Alfa Romeo,9.0,2.0,6.0,14.333333333333334,False,28.0,0
OCO,Alpine,14.0,6.0,50.0,8.333333333333334,False,28.0,0
MSC,Haas F1 Team,17.0,63.0,122.0,14.666666666666666,False,28.0,0
BOT,Alfa Romeo,15.0,12.0,31.0,19.333333333333332,False,28.0,0
TSU,AlphaTauri,20.0,44.0,50.0,17.333333333333332,False,28.0,0
LAT,Williams,10.0,11.0,33.0,18.0,False,28.0,0
MAG,Haas F1 Team,16.0,0.0,6.0,15.666666666666666,False,28.0,0
RIC,McLaren,4.0,19.0,31.0,15.666666666666666,False,28.0,0
STR,Aston Martin,12.0,16.0,100.0,10.666666666666666,False,28.0,0
ALO,Alpine,6.0,5.0,25.0,6.333333333333333,False,28.0,0
VET,Aston Martin,11.0,59.0,122.0,10.666666666666666,False,28.0,0
PER,Red Bull Racing,2.0,20.0,25.0,4.333333333333333,True,26.7,1
LEC,Ferrari,1.0,225.0,544.0,3.6666666666666665,True,26.7,1
SAI,Ferrari,4.0,223.0,399.0,5.0,True,26.7,1
NOR,McLaren,6.0,191.0,414.0,8.666666666666666,True,26.7,0
RIC,McLaren,16.0,96.0,112.0,16.333333333333332,True,26.7,0
STR,Aston Martin,11.0,26.0,122.0,13.0,True,26.7,0
VER,Red Bull Racing,8.0,13.0,33.0,1.0,True,26.7,0
VET,Aston Martin,13.0,325.0,550.0,14.0,True,26.7,0
HAM,Mercedes,3.0,24.0,37.0,9.666666666666666,True,26.7,0
GAS,AlphaTauri,7.0,169.0,367.0,9.333333333333334,True,26.7,0
BOT,Alfa Romeo,15.0,23.0,34.0,17.0,True,26.7,0
MAG,Haas F1 Team,9.0,44.0,50.0,15.666666666666666,True,26.7,0
MSC,Haas F1 Team,12.0,19.0,31.0,14.0,True,26.7,0
RUS,Mercedes,0.0,12.0,31.0,3.0,True,26.7,0
TSU,AlphaTauri,10.0,198.0,367.0,15.666666666666666,True,26.7,0
OCO,Alpine,17.0,11.0,34.0,9.0,True,26.7,0
ALB,Williams,18.0,63.0,122.0,13.0,True,26.7,0
ALO,Alpine,5.0,4.0,6.0,10.0,True,26.7,0
LAT,Williams,19.0,59.0,122.0,17.0,True,26.7,0
ZHO,Alfa Romeo,14.0,0.0,6.0,13.333333333333334,True,26.7,0
VER,Red Bull Racing,1.0,6.0,50.0,3.0,True,16.2,1
PER,Red Bull Racing,4.0,350.0,575.0,4.0,True,16.2,1
LEC,Ferrari,2.0,243.0,593.0,2.3333333333333335,True,16.2,1
OCO,Alpine,5.0,238.0,429.0,12.0,True,16.2,0
HAM,Mercedes,6.0,75.0,134.0,6.0,True,16.2,0
VET,Aston Martin,9.0,179.0,377.0,14.0,True,16.2,0
ALO,Alpine,7.0,32.0,45.0,14.333333333333334,True,16.2,0
RUS,Mercedes,8.0,65.0,140.0,6.333333333333333,True,16.2,0
LAT,Williams,20.0,202.0,381.0,17.333333333333332,True,16.2,0
NOR,McLaren,10.0,2.0,8.0,6.0,True,16.2,0
RIC,McLaren,11.0,97.0,123.0,13.0,True,16.2,0
STR,Aston Martin,19.0,26.0,123.0,11.333333333333334,True,16.2,0
TSU,AlphaTauri,13.0,13.0,45.0,16.333333333333332,True,16.2,0
MAG,Haas F1 Team,18.0,11.0,34.0,14.333333333333334,True,16.2,0
BOT,Alfa Romeo,12.0,19.0,31.0,14.333333333333334,True,16.2,0
ZHO,Alfa Romeo,14.0,44.0,50.0,15.333333333333334,True,16.2,0
MSC,Haas F1 Team,15.0,6.0,50.0,12.666666666666666,True,16.2,0
GAS,AlphaTauri,17.0,12.0,31.0,9.666666666666666,True,16.2,0
SAI,Ferrari,3.0,23.0,34.0,5.0,True,16.2,0
ALB,Williams,16.0,191.0,429.0,13.0,True,16.2,0
VER,Red Bull Racing,2.0,4.0,8.0,3.0,False,29.3,1
HAM,Mercedes,3.0,375.0,618.0,6.333333333333333,False,29.3,1
LEC,Ferrari,12.0,197.0,399.0,2.3333333333333335,False,29.3,1
PER,Red Bull Racing,9.0,253.0,444.0,3.0,False,29.3,0
RUS,Mercedes,4.0,255.0,630.0,8.333333333333334,False,29.3,0
NOR,McLaren,6.0,213.0,410.0,7.0,False,29.3,0
ALO,Alpine,14.0,105.0,131.0,14.666666666666666,False,29.3,0
VET,Aston Martin,10.0,71.0,146.0,11.333333333333334,False,29.3,0
MAG,Haas F1 Team,13.0,36.0,49.0,14.0,False,29.3,0
TSU,AlphaTauri,19.0,21.0,33.0,14.0,False,29.3,0
OCO,Alpine,0.0,12.0,35.0,10.333333333333334,False,29.3,0
ZHO,Alfa Romeo,18.0,75.0,146.0,15.333333333333334,False,29.3,0
ALB,Williams,8.0,6.0,50.0,16.333333333333332,False,29.3,0
GAS,AlphaTauri,11.0,4.0,8.0,12.0,False,29.3,0
MSC,Haas F1 Team,16.0,23.0,35.0,14.0,False,29.3,0
RIC,McLaren,15.0,12.0,33.0,11.0,False,29.3,0
LAT,Williams,17.0,26.0,131.0,14.333333333333334,False,29.3,0
STR,Aston Martin,5.0,2.0,8.0,12.0,False,29.3,0
BOT,Alfa Romeo,7.0,13.0,49.0,13.0,False,29.3,0
